주차장명,주차대수,year
여의도4주차장,224,2023
여의도2주차장,776,2023
여의도5주차장,314,2023
여의도1주차장,1561,2023
여의도4주차장,236,2023
여의도3주차장,938,2023
여의도2주차장,745,2023
여의도2주차장,226,2023
여의도3주차장,512,2023
여의도4주차장,5,2023
여의도1주차장,515,2023
여의도5주차장,31,2023
여의도3주차장,1,2023
여의도1주차장,167,2023
여의도3주차장,370,2023
여의도2주차장,201,2023
여의도1주차장,1068,2023
여의도3주차장,882,2023
여의도4주차장,148,2023
여의도5주차장,214,2023
여의도2주차장,529,2023
여의도3주차장,1319,2023
여의도2주차장,872,2023
여의도4주차장,204,2023
여의도5주차장,351,2023
여의도1주차장,1856,2023
여의도2주차장,396,2023
여의도4주차장,122,2023
여의도5주차장,188,2023
여의도1주차장,945,2023
여의도3주차장,428,2023
여의도3주차장,1262,2023
여의도5주차장,338,2023
여의도4주차장,265,2023
여의도1주차장,1711,2023
여의도2주차장,924,2023
여의도2주차장,1233,2023
여의도1주차장,2420,2023
여의도4주차장,56,2023
여의도5주차장,157,2023
여의도3주차장,1592,2023
여의도5주차장,176,2023
여의도3주차장,2017,2023
여의도1주차장,3374,2023
여의도4주차장,57,2023
여의도2주차장,1765,2023
여의도1주차장,2583,2023
여의도2주차장,1371,2023
여의도4주차장,244,2023
여의도3주차장,1586,2023
여의도5주차장,328,2023
여의도2주차장,1083,2023
여의도5주차장,362,2023
여의도4주차장,209,2023
여의도1주차장,1995,2023
여의도3주차장,1336,2023
여의도5주차장,320,2023
여의도2주차장,1074,2023
여의도1주차장,1918,2023
여의도4주차장,266,2023
여의도3주차장,1389,2023
여의도4주차장,256,2023
여의도1주차장,1194,2023
여의도5주차장,351,2023
여의도2주차장,539,2023
여의도3주차장,1064,2023
여의도2주차장,975,2023
여의도4주차장,259,2023
여의도1주차장,1797,2023
여의도3주차장,1345,2023
여의도5주차장,329,2023
여의도3주차장,2740,2023
여의도2주차장,1656,2023
여의도1주차장,3202,2023
여의도5주차장,172,2023
여의도4주차장,48,2023
여의도4주차장,53,2023
여의도2주차장,1628,2023
여의도1주차장,3519,2023
여의도3주차장,2033,2023
여의도5주차장,190,2023
여의도3주차장,1333,2023
여의도2주차장,972,2023
여의도4주차장,275,2023
여의도1주차장,2338,2023
여의도5주차장,320,2023
여의도3주차장,865,2023
여의도4주차장,279,2023
여의도5주차장,289,2023
여의도1주차장,1260,2023
여의도2주차장,556,2023
여의도3주차장,1425,2023
여의도4주차장,241,2023
여의도5주차장,329,2023
여의도1주차장,1985,2023
여의도2주차장,947,2023
여의도2주차장,979,2023
여의도3주차장,1291,2023
여의도1주차장,2124,2023
여의도4주차장,246,2023
여의도5주차장,352,2023
여의도2주차장,564,2023
여의도5주차장,309,2023
여의도3주차장,1045,2023
여의도1주차장,1394,2023
여의도4주차장,277,2023
여의도1주차장,3645,2023
여의도2주차장,1754,2023
여의도5주차장,176,2023
여의도4주차장,54,2023
여의도3주차장,2894,2023
여의도3주차장,2438,2023
여의도1주차장,3685,2023
여의도5주차장,175,2023
여의도2주차장,1869,2023
여의도4주차장,68,2023
여의도5주차장,301,2023
여의도4주차장,245,2023
여의도1주차장,2739,2023
여의도2주차장,1343,2023
여의도3주차장,1582,2023
여의도3주차장,1340,2023
여의도5주차장,345,2023
여의도2주차장,1136,2023
여의도4주차장,254,2023
여의도1주차장,2382,2023
여의도2주차장,701,2023
여의도3주차장,1190,2023
여의도1주차장,1628,2023
여의도5주차장,364,2023
여의도4주차장,253,2023
여의도1주차장,1862,2023
여의도2주차장,852,2023
여의도3주차장,1192,2023
여의도5주차장,383,2023
여의도4주차장,240,2023
여의도5주차장,421,2023
여의도3주차장,1259,2023
여의도2주차장,1033,2023
여의도4주차장,257,2023
여의도1주차장,2088,2023
여의도3주차장,2870,2023
여의도4주차장,67,2023
여의도1주차장,3899,2023
여의도5주차장,264,2023
여의도2주차장,1872,2023
여의도5주차장,312,2023
여의도3주차장,1920,2023
여의도1주차장,1152,2023
여의도4주차장,66,2023
여의도2주차장,1486,2023
여의도2주차장,1671,2023
여의도1주차장,2471,2023
여의도4주차장,241,2023
여의도5주차장,381,2023
여의도3주차장,1812,2023
여의도1주차장,2686,2023
여의도2주차장,1143,2023
여의도5주차장,368,2023
여의도4주차장,243,2023
여의도3주차장,1243,2023
여의도2주차장,1016,2023
여의도5주차장,318,2023
여의도3주차장,1296,2023
여의도1주차장,2385,2023
여의도4주차장,213,2023
여의도5주차장,358,2023
여의도3주차장,1352,2023
여의도2주차장,1120,2023
여의도1주차장,2418,2023
여의도4주차장,252,2023
여의도1주차장,2011,2023
여의도3주차장,1248,2023
여의도4주차장,269,2023
여의도2주차장,809,2023
여의도5주차장,367,2023
여의도1주차장,3371,2023
여의도5주차장,189,2023
여의도4주차장,60,2023
여의도3주차장,2497,2023
여의도2주차장,1527,2023
여의도1주차장,3600,2023
여의도5주차장,155,2023
여의도3주차장,1145,2023
여의도2주차장,1583,2023
여의도4주차장,54,2023
여의도3주차장,1483,2023
여의도2주차장,1344,2023
여의도5주차장,337,2023
여의도1주차장,2602,2023
여의도4주차장,225,2023
여의도3주차장,1123,2023
여의도2주차장,794,2023
여의도4주차장,236,2023
여의도5주차장,327,2023
여의도1주차장,1768,2023
여의도1주차장,2014,2023
여의도4주차장,254,2023
여의도5주차장,354,2023
여의도2주차장,994,2023
여의도3주차장,1286,2023
여의도5주차장,196,2023
여의도4주차장,72,2023
여의도2주차장,1733,2023
여의도1주차장,3928,2023
여의도3주차장,2251,2023
여의도3주차장,895,2023
여의도4주차장,38,2023
